time,ax,ay,az,aT
1.6540,0.3406,-0.6012,-0.7743,1.038
1.6620,0.4066,-0.6610,-0.4780,0.911
1.6720,0.4443,-0.5279,-0.2912,0.749
1.6950,0.2982,-0.4975,-0.2468,0.630
1.6980,0.2074,-0.4840,-0.2011,0.564
1.7360,0.1819,-0.5886,-0.3361,0.702
1.7400,0.2857,-0.5951,-0.5945,0.888
1.7430,0.2405,-0.5551,-0.6508,0.889
1.7460,0.1728,-0.5471,-0.9175,1.082
1.7490,0.0873,-0.4841,-1.1073,1.212
1.7510,-0.2026,-0.4809,-0.9904,1.119
1.7630,-0.3059,-0.4489,-1.0889,1.217
1.7710,-0.4340,-0.4154,-1.1869,1.330
1.7830,-0.5261,-0.1209,-1.3229,1.429
1.7920,-0.5328,-0.1468,-1.3862,1.492
1.8020,-0.5971,-0.1662,-1.6980,1.808
1.8120,-0.6079,-0.2555,-1.8511,1.965
1.8320,-0.5517,-0.1545,-1.9799,2.061
1.8440,-0.5048,-0.1252,-1.9937,2.060
1.8520,-0.5583,-0.0987,-1.8783,1.962
1.8550,-0.3838,-0.1332,-1.9018,1.945
1.8830,-0.3134,-0.0747,-1.7196,1.750
1.8880,-0.1804,-0.1000,-1.6288,1.642
1.8900,-0.3113,-0.0476,-1.5382,1.570
1.8930,-0.4306,-0.1052,-1.5959,1.656
1.9000,-0.5357,0.0154,-1.4670,1.562
1.9110,-0.4815,0.0921,-1.3292,1.417
1.9260,-0.5580,0.1051,-1.1250,1.260
1.9570,-0.5027,0.1079,-1.0271,1.149
1.9600,-0.4417,0.2370,-0.8242,0.965
1.9630,-0.3578,0.3322,-1.0235,1.134
1.9660,-0.3839,0.3337,-0.8833,1.019
1.9750,-0.3837,0.2429,-0.7916,0.913
1.9910,-0.3063,0.3814,-0.7296,0.878
2.0020,-0.3456,0.4618,-0.4001,0.702
2.0040,-0.3674,0.5822,0.0287,0.689
2.0280,-0.4620,0.4724,0.3370,0.742
2.0300,-0.4553,0.5067,0.6070,0.912
2.0370,-0.3352,0.6594,0.8008,1.090
2.0390,-0.2619,0.9532,0.9857,1.396
2.0580,-0.3828,0.9575,1.2431,1.615
2.0620,-0.4461,0.8560,1.5056,1.788
2.0790,-0.4130,0.9016,1.7016,1.970
2.0840,-0.2901,1.0228,2.1569,2.405
2.0900,-0.1840,1.0689,2.4073,2.640
2.1110,-0.1377,1.0144,2.7499,2.934
2.1130,-0.2325,1.1167,2.9978,3.207
2.1340,-0.2858,1.0246,2.9309,3.118
2.1370,-0.3288,1.0400,2.5695,2.791
2.1390,-0.5074,0.9169,2.4207,2.638
2.1540,-0.4266,0.8124,1.9141,2.123
2.1600,-0.3407,0.7765,1.5571,1.773
2.1690,-0.3222,0.7871,1.5699,1.785
2.1790,-0.1658,0.6756,1.2430,1.424
2.1890,0.2510,0.7424,0.9648,1.243
2.1980,0.5550,0.7114,0.9069,1.279
2.2090,0.7098,0.7398,0.8061,1.304
2.2270,0.8072,0.5154,0.5859,1.123
2.2290,1.0212,0.2175,0.0209,1.044
2.2390,1.4809,0.0217,-0.4916,1.560
2.2510,1.8215,-0.2313,-0.9761,2.079
2.2580,2.1002,-0.5657,-0.9747,2.383
2.2690,2.2058,-0.8137,-0.5949,2.425
2.2800,2.0665,-0.8352,-0.4125,2.267
2.2880,1.9506,-0.6967,-0.3701,2.104
2.2980,1.7596,-0.8358,-0.2801,1.968
2.3090,1.4443,-0.8858,-0.5528,1.782
2.3360,1.2997,-0.8514,-1.0863,1.896
2.3420,1.0012,-0.8587,-1.2846,1.841
2.3450,1.1292,-0.6111,-1.2957,1.824
2.3670,1.5451,-0.1498,-1.4519,2.126
2.3710,1.1855,-0.2925,-1.5195,1.949
2.3750,0.8225,-0.6025,-1.7961,2.065
2.4350,0.4682,-0.5734,-1.5831,1.748
2.4370,0.4497,-0.1057,-1.9004,1.956
2.4380,0.4305,-0.0722,-2.0010,2.048
2.4400,0.4194,-0.2268,-2.1863,2.238
2.4420,0.4027,-0.4240,-2.4091,2.479
2.4430,0.3779,-0.7126,-2.8324,2.945
2.4450,0.6220,-0.6415,-3.1260,3.251
2.4470,0.7768,-0.6437,-3.1982,3.354
2.4580,0.7903,-0.6557,-3.1691,3.331
2.4670,0.9623,-0.6961,-3.3440,3.549
2.4780,0.7803,-0.7908,-3.9707,4.123
2.4870,0.1929,-1.0124,-4.5457,4.661
2.4970,-0.2781,-1.4200,-4.7918,5.006
2.5090,-0.6499,-1.6141,-5.7831,6.039
2.5250,-0.7702,-1.6936,-6.5156,6.776
2.5280,-0.5954,-1.7805,-6.8584,7.111
2.5360,-0.3158,-1.7864,-7.4024,7.621
2.5480,-0.3235,-2.1390,-7.7621,8.058
2.5570,-0.3223,-2.6910,-7.9528,8.402
2.5670,0.6197,-2.5136,-7.6280,8.055
2.5780,1.3471,-1.9079,-6.8707,7.257
2.5860,1.3227,-1.4201,-6.3974,6.685
2.5960,0.4318,-1.3914,-5.0733,5.278
2.6070,0.1157,-1.4167,-4.7041,4.914
2.6270,-0.2179,-1.2232,-3.9255,4.117
2.6300,-0.2962,-0.8851,-2.9708,3.114
2.6360,-0.1947,-0.4134,-2.0825,2.132
2.6460,0.1685,0.1657,-1.1001,1.125
2.6570,0.2506,0.5329,-0.4874,0.764
2.6670,0.4323,0.5434,-0.0530,0.696
2.6760,0.4725,0.5600,0.8966,1.158
2.6850,0.5464,0.4353,1.4892,1.645
2.6960,0.6083,0.4684,2.0832,2.220
2.7070,0.4134,0.6981,2.6785,2.799
2.7200,0.3306,0.8456,3.4330,3.551
2.7350,0.1790,0.9929,4.0976,4.220
2.7380,0.0540,0.9782,4.6244,4.727
2.7460,0.0141,0.9135,5.5783,5.653
2.7560,-0.2134,0.8847,6.5138,6.577
2.7650,0.0073,0.8089,7.1243,7.170
2.7760,0.3100,0.8263,7.1497,7.204
2.7840,0.2477,0.8311,7.0252,7.078
2.7940,0.2115,0.7680,6.2150,6.266
2.8050,0.0247,0.8196,5.2093,5.273
2.8210,-0.0203,0.6412,3.8970,3.949
2.8460,-0.1827,0.5770,2.9007,2.963
2.8470,-0.0955,0.5813,1.7664,1.862
2.8490,0.0316,0.7922,0.5605,0.971
2.8550,-0.0337,0.8987,-0.6119,1.088
2.8650,-0.1829,1.0412,-1.7708,2.062
2.8760,-0.3042,1.1801,-2.3137,2.615
2.8860,-0.3996,1.3759,-2.3943,2.790
2.8960,-0.3639,1.5834,-2.0603,2.624
2.9050,-0.2373,1.8571,-1.2580,2.256
2.9240,0.0071,2.1532,-0.4317,2.196
2.9260,0.3067,2.1999,0.3951,2.256
2.9360,0.4269,2.2162,0.9407,2.445
2.9450,0.4847,2.0488,1.3344,2.493
2.9540,0.4398,1.9607,1.2988,2.393
2.9650,0.4677,1.6352,1.2649,2.120
2.9750,0.5948,1.5921,0.9118,1.929
2.9840,0.5532,1.5435,0.7945,1.822
2.9960,0.5077,1.4406,1.0319,1.843
3.0060,0.2516,1.2245,1.3310,1.826
3.0190,0.1832,1.2495,1.9885,2.356
3.0350,0.2191,1.3354,2.4393,2.790
3.0370,0.2496,1.2689,2.8989,3.174
3.0460,0.5269,1.1275,2.8744,3.132
3.0540,0.6408,1.0160,2.5572,2.825
3.0640,0.8693,0.9523,2.3585,2.688
3.0750,1.0323,1.0065,2.3787,2.782
3.0830,1.1884,0.8571,2.6417,3.021
3.0940,1.1771,0.8877,2.8707,3.227
3.1030,0.9869,0.6703,3.1234,3.343
3.1140,0.6011,0.4878,3.3667,3.455
3.1380,0.2315,0.3548,3.2895,3.317
3.1400,0.1162,0.1361,3.2702,3.275
3.1440,0.0752,-0.0927,3.0837,3.086
3.1550,-0.1038,-0.2885,2.8740,2.890
3.1640,-0.3389,-0.6794,2.8468,2.946
3.1750,-0.1886,-1.0788,2.3274,2.572
3.1840,0.0181,-1.3048,2.0389,2.421
3.1950,0.2501,-1.2453,1.5123,1.975
3.2030,0.4620,-1.3405,1.1592,1.831
3.2230,0.5429,-1.5444,0.4481,1.697
3.2280,0.4493,-1.6757,-0.0896,1.737
3.2330,0.4218,-1.6836,-0.7897,1.907
3.2580,0.3913,-1.4715,-1.1214,1.891
3.2620,-0.0040,-1.2207,-1.4442,1.891
3.2640,-0.4928,-1.0660,-1.2655,1.726
3.2740,-0.8410,-1.0302,-1.0595,1.700
3.2830,-0.8173,-0.9992,-0.2373,1.312
3.2940,-0.8941,-0.8616,0.1780,1.254
3.3030,-0.5673,-0.9434,0.7378,1.325
3.3130,-0.3212,-0.9168,1.4484,1.744
3.3340,-0.4274,-1.3379,1.7689,2.259
3.3460,-0.2217,-1.5282,1.5763,2.207
3.3480,-0.1210,-1.6995,1.2627,2.121
3.3810,-0.0580,-1.5414,0.8613,1.767
3.3840,-0.0153,-1.5308,0.4510,1.596
3.3870,0.1440,-1.3492,0.4416,1.427
3.3890,0.4615,-1.1164,0.0513,1.209
3.3960,0.7442,-0.7906,0.7968,1.347
3.4020,1.3102,-0.3851,0.5196,1.461
3.4130,1.7345,-0.0303,0.3920,1.778
3.4460,1.8982,0.0354,0.5470,1.976
3.4490,1.6984,-0.1205,1.0561,2.004
3.4510,1.1639,-0.4416,1.6523,2.069
3.4550,0.6363,-0.8221,1.9925,2.247
3.4690,0.3118,-1.0490,1.6385,1.970
3.4780,0.0427,-1.1125,1.3908,1.782
3.4820,-0.6928,-1.1938,0.6997,1.547
3.4930,-1.1971,-1.2216,0.3047,1.737
3.5020,-1.4618,-1.0592,-1.1998,2.168
3.5220,-1.1605,-0.4383,-3.2325,3.462
3.5270,-0.8628,-0.3641,-5.0676,5.153
3.5330,-0.6674,-0.4851,-6.6393,6.690
3.5550,-0.3405,-0.6779,-7.5382,7.576
3.5590,0.3703,-0.8789,-7.7853,7.843
3.5620,0.6297,-0.8883,-7.9072,7.982
3.5760,0.9900,-1.3752,-7.2883,7.483
3.5820,1.1485,-1.9774,-6.3318,6.732
3.5920,2.1993,-1.5643,-6.2026,6.764
3.6010,3.1226,-1.2738,-5.7965,6.706
3.6240,2.8335,-1.4988,-5.1121,6.034
3.6320,1.9679,-1.7996,-4.5623,5.285
3.6350,1.1563,-1.9192,-3.2886,3.979
3.6550,0.6044,-2.0574,-3.1165,3.783
3.6600,1.2052,-1.5209,-1.9991,2.786
3.6630,2.1769,-0.8557,-0.3602,2.367
3.6720,2.7297,-0.4139,2.0868,3.461
3.6810,2.7882,-0.8953,3.4482,4.524
3.6910,2.2153,-1.1674,4.4268,5.086
3.7010,2.0546,-0.9880,5.4913,5.946
3.7230,1.9703,-0.4728,6.5977,6.902
3.7260,1.4380,-0.2534,8.0969,8.228
3.7310,0.9821,-0.2986,9.0866,9.144
3.7610,0.3980,-0.2789,9.2016,9.214
3.7690,-0.2697,-0.4546,8.2810,8.298
3.7710,-1.0621,-0.4761,6.5890,6.691
3.7730,-1.3999,-0.2215,4.1133,4.351
3.7800,-1.6633,-0.0962,1.7995,2.452
