time,ax,ay,az,aT
1.9220,-0.8372,-1.4103,-9.2956,9.439
1.9440,0.0447,-1.6318,-9.6649,9.802
1.9460,1.5918,0.1747,-5.9475,6.159
1.9540,3.0327,2.9940,-4.6986,6.343
2.0150,0.2631,3.3419,-5.1789,6.169
2.0190,-1.1657,2.8211,-5.1295,5.969
2.0230,-2.0501,1.9160,-4.7717,5.536
2.0250,-1.7328,-0.1362,1.0454,2.028
2.0260,1.3693,2.5773,9.9779,10.396
2.0280,5.6637,2.6565,10.0456,11.834
2.0300,8.2660,0.4860,9.9732,12.962
2.0320,9.3467,-1.3448,9.9255,13.700
2.0630,7.5400,-2.6652,9.9012,12.727
2.0650,4.2744,-3.1436,9.8951,11.228
2.0680,2.4056,-1.8274,9.9040,10.354
2.0700,0.4998,0.3510,9.9297,9.948
2.1260,-1.5806,2.4699,9.9687,10.391
2.1270,-3.7686,3.4596,8.3930,9.829
2.1290,-3.4800,4.5392,7.2490,9.234
2.1310,-3.3291,3.9151,8.0158,9.522
2.1320,-2.4557,3.1217,8.6195,9.491
2.1340,-2.0689,2.1717,8.8986,9.391
2.1580,-1.7938,0.9933,8.8229,9.058
2.1600,-1.2070,0.1274,7.3768,7.476
2.1620,-0.5249,-0.6082,4.6618,4.730
2.1820,-0.1466,-1.3805,2.1031,2.520
2.1840,0.1985,-2.2011,-0.4330,2.252
2.2300,0.2494,-3.0798,-3.1094,4.384
2.2320,0.3488,-3.8455,-5.4069,6.644
2.2330,0.3851,-4.4376,-7.3392,8.585
2.2360,0.7041,-4.7567,-8.7958,10.024
2.2410,1.4768,-3.6776,-9.3111,10.119
2.2430,0.7488,-4.6589,-10.7209,11.713
2.2680,0.4166,-4.5290,-10.9174,11.827
2.2720,-0.3006,-3.8476,-12.7675,13.338
2.2740,-0.3498,-3.3545,-14.8245,15.203
2.3160,-0.7106,-3.2678,-17.1385,17.462
2.3180,0.7651,-3.8511,-18.6121,19.022
2.3210,-0.1180,-3.4970,-18.4778,18.806
2.3220,-0.9513,-3.5997,-19.3065,19.662
2.3240,-1.3002,-3.6718,-18.6187,19.022
2.3510,-0.7582,-2.5972,-15.1433,15.383
2.3540,-2.1154,-2.5054,-12.2260,12.658
2.3580,-1.2813,-2.8002,-10.0856,10.545
2.3600,0.2493,-3.3657,-9.5438,10.123
2.3840,0.1642,-3.9720,-7.5947,8.572
2.3890,0.3091,-3.8558,-6.4483,7.520
2.3910,0.5971,-3.6950,-7.4994,8.382
2.3990,0.2785,-3.8024,-9.7517,10.471
2.4220,-0.6120,-3.5069,-10.8921,11.459
2.4240,-2.0278,-3.6931,-11.1566,11.926
2.4700,-2.3420,-3.9949,-10.1134,11.123
2.4720,-1.7084,-3.9591,-9.2952,10.247
2.4730,-1.3578,-4.0301,-9.0426,9.993
2.4780,-1.0801,-3.8049,-8.7960,9.644
2.4790,-0.7393,-3.2132,-9.3968,9.959
2.4800,-0.6557,-2.9374,-10.0979,10.537
2.4880,-0.6941,-2.9465,-11.1891,11.591
2.4980,-1.0403,-3.2698,-10.8525,11.382
2.5250,-0.9131,-2.6857,-9.2881,9.712
2.5270,-1.1090,-1.5467,-6.9471,7.203
2.5280,-0.7802,-0.2936,-6.3730,6.427
2.5840,-1.2633,0.4111,-7.2805,7.401
2.5870,-2.4636,-0.1802,-7.5577,7.951
2.5890,-2.6831,-1.9313,-5.6622,6.557
2.5900,-0.1195,-0.3374,-1.8247,1.859
2.5920,2.5295,1.8805,5.7618,6.568
2.5940,5.1354,1.2182,10.1428,11.434
2.5980,5.6419,-1.3127,10.0496,11.600
2.6170,5.3103,-3.3344,9.9822,11.788
2.6180,7.1177,-2.3325,9.9455,12.451
2.7200,8.0351,-1.7371,9.9358,12.896
2.7220,7.5292,-0.3869,9.9491,12.483
2.7230,6.4067,1.3353,9.9725,11.928
2.7240,3.6536,3.3164,10.0004,11.152
2.7270,2.6503,4.7309,10.0357,11.407
2.7290,0.6943,6.8522,10.0752,12.204
2.7310,-0.6891,7.8596,10.1139,12.827
2.7320,-2.0028,7.8454,10.1462,12.981
2.7340,0.3589,6.9994,10.1786,12.358
2.7360,1.2745,5.6676,10.2096,11.747
2.7380,1.0349,3.5634,10.2357,10.888
2.7400,-0.0281,1.9581,10.2607,10.446
2.7490,0.6884,0.4465,10.2930,10.326
2.7700,0.9102,-0.6019,8.7155,8.784
2.7710,0.6541,-1.4942,4.9138,5.177
2.7760,0.0080,-2.4612,1.3260,2.796
2.8410,-0.3751,-3.1940,-1.8066,3.689
2.8420,-0.7350,-4.0064,-4.6500,6.182
2.8430,-0.7869,-4.8170,-7.0550,8.579
2.8450,-0.9802,-5.4395,-8.9134,10.488
2.8460,-1.1593,-6.1072,-10.3136,12.042
2.8480,-1.5379,-6.6624,-11.3200,13.225
2.8500,-2.3037,-6.8490,-12.1511,14.137
2.8730,-3.0140,-6.8988,-13.2245,15.217
2.8750,-3.7508,-6.9235,-14.9118,16.863
2.8770,-4.3597,-6.9099,-17.9716,19.742
2.9690,-3.8491,-7.0855,-19.3783,20.989
2.9740,-3.2171,-7.2203,-19.6895,21.217
2.9760,-2.4493,-7.1052,-19.1467,20.569
2.9780,-2.0491,-7.0475,-18.0831,19.516
2.9810,-1.4855,-6.8020,-16.0548,17.499
2.9840,-0.9687,-6.4132,-13.3280,14.822
2.9860,-0.6122,-6.0616,-10.4061,12.058
2.9880,-0.5909,-5.8623,-8.2209,10.114
2.9890,-0.8950,-5.8029,-6.6120,8.843
2.9920,-1.1571,-5.7115,-5.6391,8.109
2.9940,-1.3718,-6.1447,-5.8643,8.604
2.9950,-1.6884,-6.5112,-6.6713,9.474
3.0220,-2.1524,-6.4280,-7.6664,10.234
3.0240,-2.0673,-6.6089,-8.4687,10.939
3.0280,-1.9934,-6.6746,-9.5720,11.838
3.0670,-2.3557,-5.9341,-9.8340,11.725
3.0690,-2.3412,-5.3730,-9.7673,11.391
3.0710,-2.0757,-4.8169,-9.9244,11.225
3.0730,-1.6394,-4.0485,-10.1543,11.054
3.0750,-1.2594,-3.4766,-10.3787,11.018
3.1060,-0.7070,-2.9845,-10.5484,10.985
3.1090,-0.6249,-2.7677,-10.4477,10.826
3.1110,-1.0119,-2.8387,-9.4341,9.904
3.1150,-1.1585,-2.8706,-6.3594,7.073
3.1360,-0.3092,-2.9367,-2.1770,3.669
3.1370,-0.1209,-2.1457,3.5809,4.176
3.1450,2.0420,0.3829,10.5681,10.770
3.1820,4.0759,4.9990,10.5156,12.336
3.1850,3.7201,8.9998,10.4899,14.313
3.1870,2.6126,9.8776,10.4868,14.641
3.1890,3.5443,9.8592,10.4932,14.828
3.1950,3.5238,8.4606,10.6165,14.025
3.2220,4.3410,7.6572,10.7150,13.867
3.2250,4.9482,6.6840,10.7947,13.627
3.2270,4.2119,5.5790,10.8191,12.881
3.2700,3.5981,6.1972,10.8686,13.018
3.2730,1.9142,6.8601,10.9185,13.036
3.2750,1.0484,8.2203,10.9734,13.751
3.2760,0.5948,7.5340,11.0311,13.372
3.2780,2.1400,9.4094,11.0587,14.677
3.2860,4.0256,10.8204,11.0436,15.976
3.2970,4.0702,9.1785,11.0185,14.907
3.3250,1.0136,6.6436,11.0368,12.922
3.3270,3.0951,5.3151,11.0186,12.619
3.3280,1.9473,2.3706,11.0069,11.426
3.3910,0.9999,0.3684,10.9544,11.006
3.3930,0.0008,-1.0154,6.5524,6.631
3.3940,-0.8405,-2.7709,1.9983,3.518
3.3960,-1.2105,-3.9693,-2.4895,4.839
3.3970,-1.6749,-5.2234,-5.9489,8.092
3.4000,-1.9578,-6.5017,-8.9423,11.228
3.4050,-2.6928,-7.9235,-11.4699,14.198
3.4080,-2.5205,-8.8247,-13.2106,16.086
3.4150,-2.1346,-9.3109,-14.4049,17.284
3.4300,-1.5702,-9.3208,-15.5241,18.175
3.4360,-2.4561,-10.1983,-16.1088,19.223
3.4850,-2.3692,-10.1470,-16.3391,19.379
3.4890,-2.8116,-9.8300,-15.8638,18.873
3.4940,-3.6449,-9.5837,-15.0176,18.184
3.4970,-3.4005,-9.3106,-14.6534,17.691
3.5000,-3.1743,-9.1655,-14.6576,17.576
3.5030,-3.9291,-9.0353,-13.8927,17.032
3.5050,-2.7429,-9.0193,-13.6116,16.557
3.5470,-2.4599,-9.0195,-13.3937,16.334
3.5500,-2.6758,-8.9150,-12.9267,15.929
3.5540,-3.0740,-8.6913,-12.1634,15.262
3.5560,-2.9317,-8.5182,-11.3319,14.476
3.5580,-2.8933,-8.2757,-10.3269,13.546
3.5630,-2.8412,-8.0509,-9.2337,12.576
3.6090,-2.5789,-7.6966,-8.2229,11.554
3.6140,-2.1450,-7.1779,-7.2703,10.439
3.6170,-1.8617,-6.7503,-6.9994,9.901
3.6190,-1.5726,-6.3327,-6.7688,9.402
3.6230,-1.5816,-5.6673,-6.3737,8.674
3.6250,-1.9132,-5.0589,-5.9930,8.073
3.6660,-1.7270,-4.7035,-6.0369,7.845
3.6690,-2.2176,-4.5738,-5.7297,7.659
3.6720,-2.1061,-4.1489,-4.2416,6.296
3.6750,-1.2882,-3.5703,-2.6203,4.612
3.6780,-0.7221,-3.0908,-1.5156,3.517
3.6820,-0.4123,-2.6316,-0.7394,2.764
3.7520,0.3935,-2.1454,-0.1711,2.188
3.7540,1.7934,-1.5099,1.2896,2.676
3.7560,3.1847,0.0772,5.1475,6.054
3.7580,3.7699,2.2197,10.6284,11.494
3.7610,4.3861,5.4578,10.6658,12.759
3.7650,5.2827,7.3562,10.7445,14.052
3.7720,7.8647,9.1197,10.7399,16.136
3.7740,6.2193,8.2551,10.7224,14.893
3.7760,2.9745,7.4152,10.7455,13.390
3.7960,2.0464,7.1161,10.7605,13.062
3.8000,1.7326,5.8913,10.7881,12.413
3.8030,1.5417,5.4099,10.8503,12.222
3.8440,0.9164,5.8590,10.9464,12.450
3.8470,-2.1651,6.5584,11.0498,13.031
3.8490,-2.2480,7.2535,9.4282,12.106
3.8510,-0.1527,7.1195,6.9241,9.932
3.8530,-0.2909,6.7067,8.4373,10.782
3.8850,1.3285,5.7846,10.3106,11.897
3.8870,1.8523,4.9055,11.2893,12.448
3.8880,1.8566,3.8565,11.2155,12.004
3.8900,1.5951,2.6770,11.1310,11.559
3.9320,1.3344,1.3260,11.0376,11.197
3.9340,1.0818,-0.0667,10.9368,10.990
3.9360,0.5162,-1.4675,8.6156,8.755
3.9370,-0.0615,-2.7010,5.8873,6.478
3.9410,-0.7343,-3.7417,2.6023,4.616
3.9510,-1.3424,-4.6300,-1.2763,4.987
3.9600,-1.8447,-5.3802,-5.9659,8.243
3.9820,-2.0283,-6.0787,-10.5680,12.359
3.9840,-2.9431,-6.6108,-14.0339,15.790
3.9930,-2.4984,-7.2345,-16.5248,18.211
