time,ax,ay,az,aT
2.2030,-2.5906,-1.6509,1.5945,3.461
2.2350,-1.9869,-1.3908,1.7328,2.981
2.2370,-1.0647,-0.9082,2.0847,2.511
2.2390,-0.1558,-0.4883,2.5104,2.562
2.2730,0.6316,-0.1678,3.0414,3.111
2.2750,1.1206,-0.0391,3.4816,3.658
2.2770,1.2043,-0.0757,3.7118,3.903
2.2790,0.8913,-0.3693,3.3944,3.529
2.2830,0.4020,-0.7542,2.7819,2.910
2.3010,-0.0104,-1.0846,1.9421,2.224
2.3030,-0.4181,-1.3807,1.0432,1.780
2.3470,-0.6513,-1.4904,0.3248,1.659
2.3480,-0.7721,-1.4016,-0.1143,1.604
2.3490,-0.9769,-1.2432,-0.5661,1.679
2.3510,-1.2087,-1.0355,-1.1106,1.941
2.3520,-1.4424,-0.8401,-1.6408,2.341
2.3810,-1.5000,-0.6988,-2.2972,2.831
2.3830,-2.0386,-0.5820,-2.7128,3.443
2.3850,-2.4473,-0.6538,-3.1081,4.010
2.3980,-2.7464,-0.8177,-3.3955,4.443
2.4020,-2.8028,-0.8963,-3.7172,4.741
2.4450,-2.7217,-0.7959,-3.9188,4.837
2.4470,-2.3854,-0.5344,-4.0607,4.740
2.4480,-1.9030,-0.2585,-4.0405,4.474
2.4500,-1.4662,0.0277,-3.7825,4.057
2.4510,-1.0690,0.1747,-3.5493,3.711
2.4730,-0.7163,0.2028,-3.2707,3.354
2.4740,-0.4490,0.1220,-3.0445,3.080
2.4810,-0.3244,0.0370,-3.0346,3.052
2.4920,0.1010,-0.0111,-2.7255,2.727
2.5010,0.4644,0.0268,-2.8520,2.890
2.5350,0.7569,0.0603,-3.1070,3.198
2.5370,0.8992,0.0756,-3.2115,3.336
2.5400,0.9132,0.1637,-3.1707,3.304
2.5420,0.9747,0.3790,-3.0928,3.265
2.5660,1.0303,0.6003,-2.8926,3.129
2.5670,1.0158,0.8275,-2.7365,3.034
2.5710,0.9814,0.9955,-2.5010,2.865
2.5800,0.9159,1.1051,-2.3109,2.720
2.6170,0.8553,1.1869,-2.1526,2.603
2.6180,0.7511,1.2082,-1.9727,2.432
2.6200,0.6629,1.1953,-1.7428,2.215
2.6210,0.5592,1.1581,-1.4796,1.960
2.6320,0.5887,1.1966,-1.2715,1.843
2.6600,0.7378,1.1452,-1.0173,1.700
2.6610,0.8762,1.0939,-0.5462,1.504
